-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward        44.16%     197.842ms        44.25%     198.272ms      19.827ms       0.000us         0.00%      14.591us       1.459us           0 B           0 B     -12.55 GB     -12.55 GB            10  
                                                forward         3.27%      14.647ms        11.81%      52.932ms       5.293ms       0.000us         0.00%      75.572ms       7.557ms           0 B           0 B      12.06 GB      -5.25 GB            10  
                                               aten::mm         6.28%      28.158ms         8.91%      39.936ms      59.607us      94.532ms        39.84%      94.532ms     141.093us           0 B           0 B       8.97 GB       8.97 GB           670  
                                              optimizer         0.27%       1.219ms         8.42%      37.732ms       3.773ms       0.000us         0.00%       2.407ms     240.741us           0 B           0 B     -71.84 MB           0 B            10  
       autograd::engine::evaluate_function: MmBackward0         0.73%       3.277ms         8.20%      36.751ms     216.184us       0.000us         0.00%      34.487ms     202.866us           0 B           0 B    -615.04 MB      -3.28 GB           170  
                              Optimizer.step#AdamW.step         4.84%      21.694ms         7.84%      35.104ms       3.510ms       0.000us         0.00%       2.407ms     240.741us           0 B         -40 B           0 B     -71.84 MB            10  
                                            MmBackward0         0.89%       3.999ms         7.47%      33.474ms     196.905us       0.000us         0.00%      34.487ms     202.866us           0 B           0 B       2.68 GB           0 B           170  
    autograd::engine::evaluate_function: AddmmBackward0         0.64%       2.876ms         5.58%      25.004ms     312.548us       0.000us         0.00%      49.104ms     613.797us           0 B           0 B      -3.09 GB      -6.25 GB            80  
                                       cudaLaunchKernel         5.27%      23.627ms         5.27%      23.627ms      11.041us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2140  
     autograd::engine::evaluate_function: ViewBackward0         1.47%       6.575ms         3.79%      16.976ms      33.951us       0.000us         0.00%       4.926ms       9.852us           0 B           0 B      -1.25 GB      -1.88 GB           500  
