-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward         7.95%     112.194ms        33.29%     469.926ms      46.993ms       0.000us         0.00%      24.736us       2.474us           0 B           0 B     -50.38 GB     -50.38 GB            10  
                                    Command Buffer Full        32.10%     453.164ms        32.10%     453.164ms     467.180us     106.118ms        11.04%     106.118ms     109.400us           0 B           0 B           0 B           0 B           970  
                                       cudaLaunchKernel        17.68%     249.531ms        22.83%     322.310ms     139.528us       0.000us         0.00%      72.052ms      31.191us           0 B           0 B           0 B           0 B          2310  
                                  cudaDeviceSynchronize        22.42%     316.420ms        22.42%     316.420ms     316.420ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::mm         1.19%      16.833ms        10.84%     152.980ms     228.328us     344.941ms        35.89%     367.997ms     549.250us           0 B           0 B      35.67 GB      35.67 GB           670  
autograd::engine::evaluate_function: NativeLayerNorm...         0.14%       1.910ms        10.39%     146.710ms       1.630ms       0.000us         0.00%      60.115ms     667.939us           0 B           0 B     -10.71 GB     -16.34 GB            90  
                                                forward         0.93%      13.102ms         9.79%     138.166ms      13.817ms       0.000us         0.00%     421.039ms      42.104ms           0 B           0 B      48.09 GB     -21.12 GB            10  
                               NativeLayerNormBackward0         0.04%     517.044us         8.73%     123.242ms       1.369ms       0.000us         0.00%      41.253ms     458.366us           0 B           0 B       5.63 GB           0 B            90  
                       aten::native_layer_norm_backward         0.19%       2.681ms         8.69%     122.725ms       1.364ms      39.136ms         4.07%      41.253ms     458.366us           0 B           0 B       5.63 GB    -380.34 MB            90  
                                              aten::sum         0.40%       5.697ms         7.91%     111.650ms     413.517us      21.005ms         2.19%      21.005ms      77.798us           0 B           0 B       5.19 MB       5.19 MB           270  
