-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward        19.94%     354.592ms        35.96%     639.628ms      63.963ms       0.000us         0.00%      15.424us       1.542us           0 B           0 B     -41.03 GB     -41.03 GB            10  
                                    Command Buffer Full        20.07%     356.977ms        20.07%     356.977ms     611.261us       3.186ms         0.27%       3.186ms       5.456us           0 B           0 B           0 B           0 B           584  
autograd::engine::evaluate_function: ChunkGatedDelta...         0.07%       1.298ms        17.83%     317.155ms       7.929ms       0.000us         0.00%     551.730ms      13.793ms           0 B           0 B      -5.65 GB     -15.68 GB            40  
                    ChunkGatedDeltaRuleFunctionBackward         5.06%      90.052ms        17.76%     315.856ms       7.896ms     541.585ms        46.49%     551.730ms      13.793ms           0 B           0 B      10.03 GB     -72.70 GB            40  
                                                forward         2.18%      38.833ms        15.22%     270.730ms      27.073ms       0.000us         0.00%     308.745ms      30.875ms           0 B           0 B      40.49 GB      -8.04 GB            10  
                                       cudaLaunchKernel         9.72%     172.944ms        13.70%     243.685ms      66.947us       0.000us         0.00%       3.186ms       0.875us           0 B           0 B           0 B           0 B          3640  
                                  cudaDeviceSynchronize        11.96%     212.736ms        11.96%     212.736ms     212.736ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       cuLaunchKernelEx         8.08%     143.751ms         8.17%     145.337ms     129.765us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1120  
autograd::engine::evaluate_function: CausalConv1dFun...         0.10%       1.774ms         5.02%      89.304ms     744.202us       0.000us         0.00%     100.926ms     841.052us           0 B           0 B     -10.00 GB     -20.00 GB           120  
                           CausalConv1dFunctionBackward         3.97%      70.567ms         4.92%      87.531ms     729.421us      97.865ms         8.40%     100.926ms     841.052us           0 B           0 B      10.00 GB     -11.25 GB           120  
