-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward        29.64%     187.995ms        31.33%     198.700ms      19.870ms       0.000us         0.00%      16.094us       1.609us           0 B           0 B     -25.16 GB     -25.16 GB            10  
                                  cudaDeviceSynchronize        28.26%     179.272ms        28.26%     179.272ms     179.272ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                forward         2.34%      14.827ms         8.93%      56.657ms       5.666ms       0.000us         0.00%     150.805ms      15.081ms           0 B           0 B      23.98 GB     -10.62 GB            10  
                                               aten::mm         4.25%      26.973ms         6.52%      41.375ms      61.753us     175.113ms        37.32%     175.390ms     261.777us           0 B           0 B      17.86 GB      17.86 GB           670  
       autograd::engine::evaluate_function: MmBackward0         0.50%       3.140ms         5.68%      36.015ms     211.853us       0.000us         0.00%      65.062ms     382.715us           0 B           0 B      -1.21 GB      -6.55 GB           170  
                                       cudaLaunchKernel         5.34%      33.859ms         5.67%      35.957ms      16.494us       0.000us         0.00%     803.204us       0.368us           0 B           0 B           0 B           0 B          2180  
                                              optimizer         0.17%       1.071ms         5.40%      34.228ms       3.423ms       0.000us         0.00%       2.496ms     249.579us           0 B           0 B     -73.09 MB           0 B            10  
                                            MmBackward0         0.59%       3.722ms         5.18%      32.875ms     193.383us       0.000us         0.00%      65.062ms     382.715us           0 B           0 B       5.34 GB           0 B           170  
                              Optimizer.step#AdamW.step         3.07%      19.498ms         5.02%      31.846ms       3.185ms       0.000us         0.00%       2.496ms     249.579us           0 B         -40 B           0 B     -73.09 MB            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.43%       2.727ms         4.16%      26.390ms     329.869us       0.000us         0.00%      89.174ms       1.115ms           0 B           0 B      -6.21 GB     -12.50 GB            80  
