-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward        40.97%     262.971ms        41.04%     263.424ms      26.342ms       0.000us         0.00%      14.303us       1.430us           0 B           0 B     -16.92 GB     -16.92 GB            10  
                                                forward         3.92%      25.155ms        15.40%      98.867ms       9.887ms       0.000us         0.00%      88.772ms       8.877ms           0 B           0 B      16.36 GB      -5.32 GB            10  
                                              optimizer         0.19%       1.219ms         8.89%      57.027ms       5.703ms       0.000us         0.00%       2.556ms     255.580us           0 B           0 B     -73.18 MB           0 B            10  
                              Optimizer.step#AdamW.step         5.07%      32.511ms         8.38%      53.767ms       5.377ms       0.000us         0.00%       2.556ms     255.580us           0 B         -40 B           0 B     -73.18 MB            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.94%       6.009ms         8.11%      52.035ms     216.813us       0.000us         0.00%      71.553ms     298.138us           0 B           0 B      -4.33 GB     -10.00 GB           240  
                                               aten::mm         4.94%      31.675ms         7.13%      45.745ms      46.207us     108.771ms        38.05%     108.771ms     109.870us           0 B           0 B      11.47 GB      11.47 GB           990  
autograd::engine::evaluate_function: LayerNormFuncti...         0.16%       1.011ms         5.22%      33.525ms     838.129us       0.000us         0.00%       2.944ms      73.591us           0 B           0 B    -659.98 MB      -1.27 GB            40  
                                         AddmmBackward0         0.65%       4.190ms         5.18%      33.263ms     138.596us       0.000us         0.00%      58.187ms     242.445us           0 B           0 B       5.67 GB           0 B           240  
                              LayerNormFunctionBackward         3.98%      25.556ms         5.07%      32.515ms     812.865us       2.550ms         0.89%       2.944ms      73.591us           0 B           0 B     640.02 MB    -840.00 KB            40  
                                       cudaLaunchKernel         4.55%      29.212ms         4.55%      29.212ms       9.129us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3200  
