-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward        34.90%     268.003ms        34.96%     268.507ms      26.851ms       0.000us         0.00%      15.836us       1.584us           0 B           0 B     -33.91 GB     -33.91 GB            10  
                                  cudaDeviceSynchronize        16.55%     127.112ms        16.55%     127.112ms     127.112ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                forward         3.14%      24.091ms        12.24%      93.981ms       9.398ms       0.000us         0.00%     167.865ms      16.786ms           0 B           0 B      32.73 GB     -10.62 GB            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.80%       6.129ms         6.93%      53.255ms     221.897us       0.000us         0.00%     128.888ms     537.034us           0 B           0 B      -8.71 GB     -20.00 GB           240  
                                              optimizer         0.15%       1.125ms         6.70%      51.466ms       5.147ms       0.000us         0.00%       2.658ms     265.836us           0 B           0 B     -74.43 MB           0 B            10  
                              Optimizer.step#AdamW.step         3.85%      29.573ms         6.31%      48.459ms       4.846ms       0.000us         0.00%       2.658ms     265.836us           0 B         -40 B           0 B     -74.43 MB            10  
                                               aten::mm         4.15%      31.892ms         5.97%      45.883ms      46.347us     203.099ms        37.59%     203.099ms     205.151us           0 B           0 B      22.87 GB      22.87 GB           990  
                                         AddmmBackward0         0.55%       4.233ms         4.42%      33.944ms     141.435us       0.000us         0.00%     107.625ms     448.437us           0 B           0 B      11.29 GB           0 B           240  
autograd::engine::evaluate_function: LayerNormFuncti...         0.13%       1.036ms         4.39%      33.717ms     842.914us       0.000us         0.00%       5.409ms     135.229us           0 B           0 B      -1.29 GB      -2.54 GB            40  
                              LayerNormFunctionBackward         3.37%      25.848ms         4.26%      32.681ms     817.016us       5.000ms         0.93%       5.409ms     135.229us           0 B           0 B       1.25 GB    -840.00 KB            40  
