-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward         8.76%     123.175ms        33.34%     468.815ms      46.881ms       0.000us         0.00%      21.692us       2.169us           0 B           0 B     -50.39 GB     -50.39 GB            10  
                                    Command Buffer Full        30.79%     432.994ms        30.79%     432.994ms     473.218us      82.151ms         8.58%      82.151ms      89.782us           0 B           0 B           0 B           0 B           915  
                                  cudaDeviceSynchronize        22.46%     315.806ms        22.46%     315.806ms     315.806ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        17.25%     242.645ms        21.92%     308.335ms     133.478us       0.000us         0.00%      51.910ms      22.472us           0 B           0 B           0 B           0 B          2310  
                                               aten::mm         1.29%      18.149ms        10.68%     150.259ms     224.267us     344.408ms        35.99%     365.217ms     545.100us           0 B           0 B      35.67 GB      35.67 GB           670  
autograd::engine::evaluate_function: NativeLayerNorm...         0.15%       2.074ms        10.13%     142.529ms       1.584ms       0.000us         0.00%      59.970ms     666.338us           0 B           0 B     -10.71 GB     -16.34 GB            90  
                                                forward         1.04%      14.560ms         9.55%     134.373ms      13.437ms       0.000us         0.00%     396.131ms      39.613ms           0 B           0 B      47.97 GB     -21.24 GB            10  
                               NativeLayerNormBackward0         0.04%     561.566us         8.53%     119.950ms       1.333ms       0.000us         0.00%      41.132ms     457.022us           0 B           0 B       5.63 GB           0 B            90  
                       aten::native_layer_norm_backward         0.20%       2.856ms         8.49%     119.389ms       1.327ms      39.022ms         4.08%      41.132ms     457.022us           0 B           0 B       5.63 GB    -382.59 MB            90  
                                              aten::sum         0.43%       6.036ms         7.68%     108.031ms     400.114us      20.995ms         2.19%      20.995ms      77.760us           0 B           0 B       5.19 MB       5.19 MB           270  
